ORIGIN_SZ_C,DEST_SZ_C,O_TOTAL_POP,D_TOTAL_POP,O_MONTHLY_INCOME,D_MONTHLY_INCOME,TRIPS,FlowNoIntra,offset,dist
AMSZ02,SGSZ06,24330,21840,101.2,68.2,33383,33383,1,2921.258008165896
AMSZ02,TPSZ02,24330,23640,101.2,68.9,7574,7574,1,4522.114287081956
AMSZ02,TPSZ03,24330,8460,101.2,68.9,4,4,1,3592.882113045579
AMSZ02,TPSZ04,24330,13070,101.2,68.9,5106,5106,1,4142.311731004586
AMSZ02,TPSZ05,24330,6300,101.2,68.9,5152,5152,1,3536.106115346714
AMSZ03,AMSZ01,23360,4090,101.2,101.2,205088,205088,1,1360.9293746969736
AMSZ03,AMSZ02,23360,24330,101.2,101.2,49492,49492,1,950.2937017138923
AMSZ03,AMSZ03,23360,23360,101.2,101.2,349781,0,1e-10,0
AMSZ03,AMSZ04,23360,18170,101.2,101.2,47198,47198,1,808.0788560099825
AMSZ03,AMSZ05,23360,14870,101.2,101.2,65944,65944,1,1964.050791524502
AMSZ03,AMSZ06,23360,19710,101.2,101.2,24929,24929,1,2054.9414610494637
AMSZ03,AMSZ07,23360,5660,101.2,101.2,6,6,1,3000.979403838481
AMSZ03,AMSZ09,23360,20890,101.2,101.2,30591,30591,1,2559.4557820235827
AMSZ03,BDSZ01,23360,32410,101.2,150.3,8099,8099,1,6786.74382137014
AMSZ03,BDSZ02,23360,21390,101.2,150.3,1166,1166,1,8309.121604776574
AMSZ03,BDSZ03,23360,32280,101.2,150.3,3436,3436,1,7972.920233916501
AMSZ03,BDSZ04,23360,71920,101.2,150.3,7407,7407,1,9694.722162782195
AMSZ03,BDSZ05,23360,28100,101.2,150.3,3008,3008,1,9050.416955108347
AMSZ03,BDSZ06,23360,40730,101.2,150.3,527,527,1,10968.477227708312
AMSZ03,BDSZ08,23360,6040,101.2,150.3,136,136,1,11756.052694291584
AMSZ03,BMSZ02,23360,870,101.2,82.2,431,431,1,9986.468183943469
AMSZ03,BMSZ03,23360,9140,101.2,82.2,802,802,1,9494.496402304614
AMSZ03,BMSZ06,23360,2230,101.2,82.2,164,164,1,8880.161256809102
AMSZ03,BMSZ08,23360,11640,101.2,82.2,637,637,1,9312.936953846578
AMSZ03,BSSZ01,23360,24960,101.2,49.5,40376,40376,1,2701.221814397837
AMSZ03,BSSZ02,23360,25060,101.2,49.5,43596,43596,1,1623.1304411904641
AMSZ03,BSSZ03,23360,24240,101.2,49.5,221659,221659,1,1623.5668552691884
AMSZ03,BTSZ03,23360,8540,101.2,36.8,5698,5698,1,8996.591050818508
AMSZ03,BTSZ04,23360,8910,101.2,36.8,346,346,1,9827.738336034925
AMSZ03,BTSZ06,23360,5040,101.2,36.8,4747,4747,1,7387.54131188513
AMSZ03,BTSZ07,23360,5220,101.2,36.8,421,421,1,8373.097345831693
AMSZ03,CLSZ06,23360,12490,101.2,45.9,1867,1867,1,11808.562306038331
AMSZ03,CLSZ07,23360,13590,101.2,45.9,433,433,1,11780.618792515164
AMSZ03,DTSZ01,23360,730,101.2,21.5,272,272,1,7200.6559595813615
AMSZ03,DTSZ08,23360,190,101.2,21.5,328,328,1,9497.745531433939
AMSZ03,DTSZ11,23360,850,101.2,21.5,379,379,1,9802.55391322027
AMSZ03,GLSZ02,23360,24330,101.2,61.4,6625,6625,1,5240.370016807939
AMSZ03,GLSZ03,23360,10130,101.2,61.4,11121,11121,1,5951.589684075908
AMSZ03,GLSZ04,23360,35280,101.2,61.4,220,220,1,6324.058161185815
AMSZ03,GLSZ05,23360,25690,101.2,61.4,10507,10507,1,7068.369511000585
AMSZ03,HGSZ01,23360,4220,101.2,120.8,4393,4393,1,4029.7475673106374
AMSZ03,HGSZ02,23360,27410,101.2,120.8,6999,6999,1,4773.822413510535
